Vehicle_Class,Compact Cars,Compact Cars,Compact Cars,Large Cars,Large Cars,Large Cars,Midsize Cars,Midsize Cars,Midsize Cars,Midsize Station Wagons,Minicompact Cars,Minivan,Minivan,Small Pickup Trucks,Small Sport Utility Vehicle,Small Sport Utility Vehicle,Small Sport Utility Vehicle,Small Station Wagons,Small Station Wagons,Small Station Wagons,Standard Pickup Trucks,Standard Pickup Trucks,Standard Sport Utility Vehicle,Standard Sport Utility Vehicle,Standard Sport Utility Vehicle,Subcompact Cars,Subcompact Cars,Subcompact Cars,Two Seaters,Two Seaters,Two Seaters,Van
Drivetrain_Type,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,PHEV,ICE,ICE,ICE,PHEV,ICE,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,PHEV,ICE
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greene County,0.0,187.0,4.0,2.0,114.0,0.0,6.0,544.0,7.0,46.0,2.0,94.0,0.0,68.0,8.0,820.0,6.0,2.0,144.0,0.0,2.0,835.0,0.0,215.0,0.0,1.0,136.0,0.0,1.0,38.0,0.0,10.0
Hamilton County,0.0,10.0,0.0,0.0,5.0,0.0,1.0,30.0,2.0,2.0,1.0,8.0,0.0,10.0,0.0,99.0,0.0,0.0,8.0,0.0,0.0,119.0,0.0,28.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0
Herkimer County,0.0,223.0,1.0,1.0,132.0,0.0,1.0,540.0,5.0,24.0,1.0,125.0,0.0,61.0,2.0,1046.0,4.0,2.0,108.0,0.0,1.0,930.0,0.0,267.0,0.0,0.0,107.0,0.0,0.0,31.0,0.0,6.0
Jefferson County,0.0,332.0,2.0,1.0,232.0,0.0,4.0,902.0,11.0,52.0,5.0,238.0,0.0,144.0,2.0,1788.0,6.0,0.0,172.0,0.0,0.0,1888.0,0.0,577.0,4.0,0.0,184.0,0.0,0.0,58.0,0.0,7.0
Kings County,0.0,2984.0,12.0,21.0,1654.0,2.0,150.0,9662.0,73.0,516.0,141.0,3764.0,6.0,122.0,196.0,11745.0,63.0,13.0,1681.0,2.0,4.0,1298.0,29.0,5606.0,39.0,4.0,1487.0,1.0,3.0,246.0,0.0,193.0
Lewis County,0.0,87.0,0.0,0.0,52.0,0.0,0.0,184.0,0.0,10.0,2.0,53.0,0.0,46.0,0.0,436.0,0.0,0.0,32.0,0.0,0.0,587.0,0.0,146.0,0.0,0.0,39.0,0.0,0.0,14.0,0.0,1.0
Livingston County,0.0,174.0,2.0,0.0,130.0,0.0,6.0,558.0,7.0,30.0,6.0,225.0,0.0,89.0,3.0,1034.0,3.0,3.0,126.0,0.0,1.0,1075.0,0.0,306.0,0.0,0.0,131.0,0.0,0.0,40.0,0.0,5.0
Madison County,0.0,261.0,2.0,3.0,180.0,0.0,2.0,706.0,12.0,31.0,11.0,199.0,1.0,91.0,5.0,1410.0,9.0,0.0,113.0,1.0,0.0,1229.0,0.0,366.0,1.0,0.0,169.0,2.0,0.0,48.0,0.0,11.0
Monroe County,7.0,2955.0,53.0,18.0,1845.0,0.0,114.0,9337.0,121.0,327.0,89.0,1877.0,12.0,516.0,115.0,13358.0,91.0,81.0,1787.0,3.0,10.0,5190.0,18.0,3592.0,10.0,4.0,1732.0,1.0,0.0,489.0,0.0,62.0
Montgomery County,0.0,174.0,0.0,1.0,135.0,0.0,4.0,596.0,4.0,29.0,7.0,136.0,0.0,51.0,1.0,848.0,2.0,2.0,138.0,0.0,1.0,898.0,0.0,230.0,0.0,0.0,160.0,0.0,0.0,35.0,0.0,6.0
Nassau County,9.0,6292.0,39.0,142.0,3383.0,7.0,428.0,16944.0,173.0,615.0,320.0,3152.0,9.0,629.0,465.0,24240.0,152.0,36.0,2484.0,2.0,13.0,5406.0,141.0,11445.0,67.0,9.0,3722.0,5.0,0.0,989.0,1.0,197.0
New York County,2.0,1293.0,12.0,62.0,649.0,2.0,114.0,3598.0,51.0,256.0,174.0,963.0,9.0,70.0,113.0,5053.0,50.0,52.0,699.0,1.0,6.0,670.0,84.0,3178.0,39.0,4.0,789.0,3.0,0.0,309.0,3.0,80.0
Niagara County,0.0,680.0,11.0,6.0,555.0,0.0,13.0,2147.0,31.0,98.0,29.0,464.0,4.0,168.0,7.0,3804.0,12.0,8.0,337.0,0.0,1.0,2772.0,0.0,1084.0,0.0,5.0,446.0,0.0,0.0,173.0,0.0,16.0
Oneida County,0.0,999.0,3.0,2.0,472.0,0.0,12.0,2274.0,26.0,89.0,16.0,488.0,0.0,236.0,15.0,3874.0,16.0,6.0,417.0,0.0,1.0,2648.0,0.0,1123.0,2.0,0.0,440.0,0.0,0.0,160.0,0.0,21.0
Onondaga County,3.0,1557.0,15.0,13.0,1001.0,0.0,44.0,4683.0,66.0,197.0,48.0,1096.0,6.0,376.0,32.0,8816.0,55.0,20.0,963.0,1.0,3.0,3767.0,4.0,2610.0,3.0,1.0,827.0,1.0,0.0,298.0,0.0,37.0
Ontario County,0.0,417.0,8.0,6.0,246.0,0.0,14.0,1205.0,16.0,45.0,17.0,277.0,2.0,126.0,19.0,2075.0,17.0,7.0,257.0,1.0,0.0,1477.0,1.0,597.0,0.0,0.0,215.0,0.0,0.0,94.0,0.0,10.0
Orange County,0.0,1811.0,9.0,18.0,897.0,0.0,58.0,4649.0,45.0,209.0,40.0,960.0,2.0,355.0,47.0,6261.0,33.0,10.0,962.0,0.0,3.0,2872.0,7.0,2201.0,5.0,2.0,974.0,1.0,0.0,218.0,0.0,39.0
